iter	Logloss
0	0.6833085569
1	0.6739658188
2	0.666112548
3	0.6599945129
4	0.6543547445
5	0.6497733846
6	0.6461355329
7	0.6429375803
8	0.6400141552
9	0.637989431
10	0.6358379862
11	0.6336750728
12	0.6320829461
13	0.6306266781
14	0.6295813956
15	0.628466502
16	0.6276451402
17	0.6268020079
18	0.6257604279
19	0.6251479706
20	0.6245119976
21	0.6238881851
22	0.6233541117
23	0.6227453718
24	0.6223392785
25	0.6217932508
26	0.6213556802
27	0.6208761996
28	0.6204811482
29	0.6201988939
30	0.6198651242
31	0.6195795501
32	0.6192319317
33	0.6188962911
34	0.618583216
35	0.6183146573
36	0.6180326346
37	0.6178580395
38	0.6176138207
39	0.6173646098
40	0.6171380606
41	0.6169371847
42	0.6166766903
43	0.6164043475
44	0.6161681923
45	0.6158801008
46	0.6156451955
47	0.6154985966
48	0.6153088997
49	0.6151412909
50	0.6149190949
51	0.6147125429
52	0.6144911755
53	0.6143503754
54	0.614177842
55	0.6140164093
56	0.6138325079
57	0.6136977701
58	0.6135366976
59	0.6132936965
60	0.6131420727
61	0.6130495547
62	0.6129184903
63	0.6127811944
64	0.6126241676
65	0.612492505
66	0.6123903719
67	0.6122845864
68	0.6121417719
69	0.6120260335
70	0.6118700346
71	0.6117748617
72	0.6116677398
73	0.6115551611
74	0.6114219219
75	0.6112991202
76	0.6111850126
77	0.6110480547
78	0.610883364
79	0.6107434241
80	0.6105613056
81	0.6104252158
82	0.6103180095
83	0.6102464787
84	0.6101182062
85	0.6100052316
86	0.6099351313
87	0.6097860412
88	0.6097043332
89	0.6096319043
90	0.6095450862
91	0.6094417242
92	0.6093714666
93	0.6092898536
94	0.6092129389
95	0.6091219311
96	0.609014383
97	0.6089339059
98	0.608877601
99	0.6087946703
100	0.6086857675
101	0.6085895163
102	0.6085080471
103	0.6084216099
104	0.6083534919
105	0.6082496221
106	0.6081419271
107	0.6080493957
108	0.6079229429
109	0.6077994216
110	0.6077003176
111	0.6076074763
112	0.6075292146
113	0.6074642115
114	0.6073492667
115	0.6072832419
116	0.6071823191
117	0.6070917398
118	0.6069991094
119	0.606896905
120	0.6068090626
121	0.6066978903
122	0.606604758
123	0.6065117127
124	0.6064335884
125	0.6063255327
126	0.6062023303
127	0.6061036942
128	0.6060192612
129	0.6059364246
130	0.6058453436
131	0.6057706658
132	0.6056637333
133	0.6055488332
134	0.6054538548
135	0.6053486435
136	0.6052224571
137	0.6051041888
138	0.6050114409
139	0.604914732
140	0.6048189891
141	0.6047292435
142	0.6046207867
143	0.6045311598
144	0.6044368885
145	0.6043002019
146	0.6042087092
147	0.6040303467
148	0.6039460764
149	0.6038471497
