iter	Passed	Remaining
0	59	8898
1	77	5731
2	94	4637
3	112	4093
4	128	3713
5	145	3486
6	162	3311
7	179	3185
8	195	3068
9	213	2988
10	230	2917
11	246	2833
12	263	2776
13	280	2721
14	298	2687
15	316	2648
16	332	2605
17	350	2573
18	368	2543
19	384	2497
20	402	2472
21	420	2444
22	437	2416
23	456	2398
24	473	2369
25	491	2346
26	510	2324
27	528	2301
28	547	2284
29	564	2259
30	581	2233
31	597	2203
32	614	2179
33	631	2153
34	649	2134
35	665	2107
36	680	2079
37	699	2060
38	718	2044
39	734	2020
40	753	2002
41	769	1979
42	784	1952
43	802	1933
44	823	1921
45	839	1899
46	856	1877
47	874	1857
48	890	1835
49	906	1813
50	923	1792
51	939	1771
52	957	1752
53	974	1733
54	990	1711
55	1007	1691
56	1026	1675
57	1043	1655
58	1060	1635
59	1076	1614
60	1093	1595
61	1111	1577
62	1124	1552
63	1139	1530
64	1156	1512
65	1171	1490
66	1187	1470
67	1205	1453
68	1222	1434
69	1239	1416
70	1254	1396
71	1273	1379
72	1290	1361
73	1307	1343
74	1324	1324
75	1341	1306
76	1357	1287
77	1375	1269
78	1392	1251
79	1409	1232
80	1426	1214
81	1442	1196
82	1458	1177
83	1476	1160
84	1493	1141
85	1510	1123
86	1527	1106
87	1543	1087
88	1559	1069
89	1578	1052
90	1604	1040
91	1620	1021
92	1637	1003
93	1654	985
94	1673	968
95	1691	951
96	1708	933
97	1724	914
98	1739	895
99	1755	877
100	1772	859
101	1789	842
102	1805	823
103	1821	805
104	1837	787
105	1853	769
106	1871	752
107	1890	735
108	1918	721
109	1935	703
110	1953	686
111	1970	668
112	1987	650
113	2002	632
114	2018	614
115	2036	597
116	2052	578
117	2069	561
118	2087	543
119	2106	526
120	2125	509
121	2144	492
122	2161	474
123	2178	456
124	2196	439
125	2213	421
126	2232	404
127	2250	386
128	2269	369
129	2287	351
130	2307	334
131	2324	316
132	2341	299
133	2359	281
134	2375	263
135	2394	246
136	2411	228
137	2431	211
138	2448	193
139	2467	176
140	2488	158
141	2503	141
142	2520	123
143	2539	105
144	2557	88
145	2576	70
146	2595	52
147	2611	35
148	2629	17
149	2646	0
